Date,Close,High,Low,Open,Volume,Log_Return,Simple_Return,Log_Return_pct
2023-04-25,17769.25,17807.44921875,17716.849609375,17761.55078125,297400,0.0014557975062981768,0.0014568576938982503,0.14557975062981768
2023-04-26,17813.599609375,17827.75,17711.19921875,17767.30078125,233000,0.002492753268886545,0.0024958627615121465,0.24927532688865447
2023-04-27,17915.05078125,17931.599609375,17797.900390625,17813.099609375,241400,0.005678996739265909,0.005695152810193838,0.5678996739265909
2023-04-28,18065.0,18089.150390625,17885.30078125,17950.400390625,290300,0.008335179280697748,0.008370013603697934,0.8335179280697748
2023-05-02,18147.650390625,18180.25,18101.75,18124.80078125,265200,0.004564732669242972,0.004575166931912511,0.4564732669242972
2023-05-03,18089.849609375,18116.349609375,18042.400390625,18113.80078125,226200,-0.003190111363585117,-0.00318502836487633,-0.3190111363585117
2023-05-04,18255.80078125,18267.44921875,18066.69921875,18081.0,226600,0.009131894646700034,0.009173717607303677,0.9131894646700034
2023-05-05,18069.0,18216.94921875,18055.44921875,18117.30078125,239700,-0.010285117822267788,-0.010232406865540389,-1.0285117822267789
2023-05-08,18264.400390625,18286.94921875,18100.30078125,18120.599609375,228400,0.010756068652657526,0.010814123118324304,1.0756068652657527
2023-05-09,18265.94921875,18344.19921875,18229.650390625,18303.400390625,245400,8.479678637020549e-05,8.480038171931881e-05,0.008479678637020548
2023-05-10,18315.099609375,18326.75,18211.94921875,18313.599609375,220500,0.0026872067245805376,0.0026908205008338015,0.26872067245805376
2023-05-11,18297.0,18389.69921875,18270.400390625,18357.80078125,248900,-0.0009887229108728535,-0.0009882342854272697,-0.09887229108728535
2023-05-12,18314.80078125,18342.75,18194.55078125,18273.75,241700,0.0009724068345624825,0.0009728797753729701,0.09724068345624824
2023-05-15,18398.849609375,18458.900390625,18287.900390625,18339.30078125,216100,0.004578622613795238,0.004589120522186851,0.4578622613795238
2023-05-16,18286.5,18432.349609375,18264.349609375,18432.349609375,219500,-0.0061250587396132535,-0.006106338807060685,-0.6125058739613254
2023-05-17,18181.75,18309.0,18115.349609375,18300.44921875,229900,-0.005744738948538704,-0.005728269488420423,-0.5744738948538705
2023-05-18,18129.94921875,18297.19921875,18104.849609375,18287.5,272100,-0.0028531199312594804,-0.002849053652701161,-0.285311993125948
2023-05-19,18203.400390625,18218.099609375,18060.400390625,18186.150390625,260900,0.004043187469679982,0.0040513721791914925,0.4043187469679982
2023-05-22,18314.400390625,18335.25,18178.849609375,18201.099609375,262600,0.0060792457091855085,0.006097761825706316,0.6079245709185509
2023-05-23,18348.0,18419.75,18324.19921875,18362.900390625,270400,0.0018329197446846867,0.001834600568861644,0.18329197446846868
2023-05-24,18285.400390625,18392.599609375,18262.94921875,18294.80078125,232600,-0.003417628155656871,-0.0034117947119577385,-0.3417628155656871
2023-05-25,18321.150390625,18338.099609375,18202.400390625,18268.900390625,235900,0.0019532029433287895,0.001955111686716471,0.19532029433287895
2023-05-26,18499.349609375,18508.55078125,18333.150390625,18368.349609375,198700,0.009679423693686186,0.009726420827874671,0.9679423693686187
2023-05-29,18598.650390625,18641.19921875,18581.25,18619.150390625,265300,0.005353443226476252,0.005367798508963517,0.5353443226476252
2023-05-30,18633.849609375,18662.44921875,18575.5,18606.650390625,234400,0.0018907797884415813,0.0018925684396833287,0.18907797884415814
2023-05-31,18534.400390625,18603.900390625,18483.849609375,18594.19921875,696500,-0.005351312266430236,-0.0053370195013254795,-0.5351312266430236
2023-06-01,18487.75,18580.30078125,18464.55078125,18579.400390625,265600,-0.0025201353688439534,-0.0025169624936233204,-0.2520135368843953
2023-06-02,18534.099609375,18573.69921875,18478.400390625,18550.849609375,270900,0.002503906967370625,0.002507044360454902,0.25039069673706255
2023-06-05,18593.849609375,18640.150390625,18582.80078125,18612.0,256100,0.0032186023111129003,0.003223787573137793,0.32186023111129003
2023-06-06,18599.0,18622.75,18531.599609375,18600.80078125,220800,0.00027695595857881204,0.00027699431442118616,0.027695595857881204
2023-06-07,18726.400390625,18738.94921875,18636.0,18665.599609375,260100,0.006826497990157328,0.006849851638528914,0.6826497990157328
2023-06-08,18634.55078125,18777.900390625,18615.599609375,18725.349609375,286500,-0.004916887367083021,-0.0049048192636628185,-0.4916887367083021
2023-06-09,18563.400390625,18676.650390625,18555.400390625,18655.900390625,221800,-0.003825505177262602,-0.00381819725413457,-0.3825505177262602
2023-06-12,18601.5,18633.599609375,18559.75,18595.05078125,179500,0.0020503013499982166,0.0020524046550352004,0.20503013499982167
2023-06-13,18716.150390625,18728.900390625,18631.80078125,18631.80078125,233200,0.00614458574708609,0.0061635024393194016,0.614458574708609
2023-06-14,18755.900390625,18769.69921875,18690.0,18744.599609375,261400,0.002121582036807868,0.0021238341844009856,0.21215820368078678
2023-06-15,18688.099609375,18794.099609375,18669.05078125,18774.44921875,263000,-0.0036214536561356998,-0.0036149041015322014,-0.36214536561356997
2023-06-16,18826.0,18864.69921875,18710.5,18723.30078125,272800,0.007351956368470602,0.0073790483520230765,0.7351956368470602
2023-06-19,18755.44921875,18881.44921875,18719.150390625,18873.30078125,219800,-0.003754557931873424,-0.0037475183921172883,-0.3754557931873424
2023-06-20,18816.69921875,18839.69921875,18660.650390625,18752.349609375,211600,0.0032603966930515953,0.003265717567498605,0.32603966930515954
2023-06-21,18856.849609375,18875.900390625,18794.849609375,18849.400390625,217500,0.0021314905059401927,0.0021337637466720683,0.21314905059401928
